start_timestamp,end_timestamp,cpu_request_avg_container,cpu_request_sum_container,cpu_limit_avg_container,cpu_limit_sum_container,cpu_usage_sum_container,cpu_usage_avg_container,cpu_usage_max_container,cpu_usage_min_container,cpu_throttle_sum_container,cpu_throttle_avg_container,cpu_throttle_max_container	,mem_request_avg_container,mem_request_sum_container,mem_limit_avg_container,mem_limit_sum_container,mem_usage_sum_container,mem_usage_avg_container,mem_usage_max_container,mem_usage_min_container,mem_rss_sum_container,mem_rss_avg_container,mem_rss_max_container,mem_rss_min_container	,network_sum_pod,network_avg_pod,network_max_pod,network_min_pod
Tue Jan 31 19:04:08 UTC 2023,Tue Jan 31 19:19:09 UTC 2023,"4","12",,,,"5.254110273923725","7.6099512806007015","2.330970222266236",,,	,"4096000000","12288000000",,,"12179024352.068817","4059674784.0229387","5453008896","2724843520","10876646111.518278","3625548703.839426","4979580928","2387640320"	,"305.28850574712646","101.76283524904215","102.88045977011494","100.77816091954024"
Tue Jan 31 19:19:09 UTC 2023,Tue Jan 31 19:34:09 UTC 2023,"4","12",,,,"5.348675028147753","7.638531984000777","2.507335200866995",,,	,"4096000000","12288000000",,,"12390427993.737635","4130142664.579211","5460365312","3031846912","10479233451.217205","3493077817.0724015","4814008320","2376413184"	,"305.63678160919545","101.87892720306515","102.41839080459772","101.26436781609196"
Tue Jan 31 19:34:09 UTC 2023,Tue Jan 31 19:49:09 UTC 2023,"4","12",,,,"5.252097408826662","7.995804986334406","2.5975270493654534",,,	,"4096000000","12288000000",,,"13688390600.946236","4562796866.982079","5773766656","3446530048","11162690606.245161","3720896868.748387","5031452672","2504781824"	,"303.2057471264368","101.06858237547893","102.37011494252874","99.7"
Tue Jan 31 19:49:09 UTC 2023,Tue Jan 31 20:04:10 UTC 2023,"4","12",,,,"5.3027740833562955","8.221531892967565","2.62028922480143",,,	,"4096000000","12288000000",,,"13855404701.453764","4618468233.817922","5766537216","3435413504","10715910919.156988","3571970306.385663","4721139712","2447982592"	,"305.69425287356324","101.89808429118774","102.6896551724138","101.4712643678161"
Tue Jan 31 20:04:10 UTC 2023,Tue Jan 31 20:19:10 UTC 2023,"4","12",,,,"5.293782819142927","7.940112407602525","2.654044474797168",,,	,"4096000000","12288000000",,,"14723065402.356989","4907688467.45233","6090174464","3872169984","10965118244.886023","3655039414.9620075","4797661184","2627059712"	,"305.5","101.83333333333334","103.69425287356322","100.7712643678161"
Tue Jan 31 20:19:10 UTC 2023,Tue Jan 31 20:34:11 UTC 2023,"4","12",,,,"5.306374796903735","8.211842819400287","2.4898567783335843",,,	,"4096000000","12288000000",,,"15482739344.24086","5160913114.746953","6292889600","3851923456","11107411206.055914","3702470402.018638","4797878272","2376126464"	,"306.2781609195402","102.0927203065134","102.80229885057472","101.14942528735632"
Tue Jan 31 20:34:11 UTC 2023,Tue Jan 31 20:49:11 UTC 2023,"4","12",,,,"4.607875876154069","8.033306950497597","1.130718519166112",,,	,"4096000000","12288000000",,,"14519494052.610752","4839831350.870251","6487719936","2389299200","10516278265.393547","3505426088.4645157","4828262400","2077057024"	,"307.33103448275864","102.44367816091955","104.14942528735632","101.3816091954023"
Tue Jan 31 20:49:11 UTC 2023,Tue Jan 31 21:04:11 UTC 2023,"4","12",,,,"2.0736008467952765","2.9847227816663993","1.0675618513681304",,,	,"4096000000","12288000000",,,"8634718859.83656","2878239619.94552","3328057344","2376065024","7687464272.929032","2562488090.976344","3011977216","2065068032"	,"304.98850574712645","101.66283524904215","102.26666666666667","101.32183908045977"
Tue Jan 31 21:04:11 UTC 2023,Tue Jan 31 21:19:12 UTC 2023,"4","12",,,,"2.196775212646333","3.4602857915024896","0.8951881723982903",,,	,"4096000000","12288000000",,,"8790470726.468817","2930156908.822939","3321995264","2377879552","7844580847.4838705","2614860282.4946237","3004092416","2069323776"	,"307.61264367816096","102.53754789272031","103.1241379310345","101.4712643678161"
Tue Jan 31 21:19:12 UTC 2023,Tue Jan 31 21:34:12 UTC 2023,"4","12",,,,"2.184922276854782","3.25383185413278","1.050100286200177",,,	,"4096000000","12288000000",,,"8513447803.870968","2837815934.623656","3299393536","2352517120","7557119907.509677","2519039969.1698923","2983268352","2042888192"	,"307.3954022988506","102.46513409961688","104.37701149425288","101.05977011494252"
